YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2017,7,26676,17000,Facebook marketplace
2017,7,31000,18500,Facebook marketplace
2018,6,15500,128500,CarGurus
2021,3,66553,20240,CarGurus
2017,7,108732,14000,CarGurus
2023,1,16933,31000,CarGurus
2023,1,1620,32900,CarGurus
2017,7,71000,15500,Facebook marketplace
2020,4,84796,15800,Facebook marketplace
2016,8,83678,16390,AutoTrader
2016,8,104942,16977,Cars.com
2018,6,83236,18688,Cars.com
2017,7,65969,18991,Cars.com
2017,7,31000,18500,Facebook marketplace
2017,7,95000,11100,Facebook marketplace
2021,3,49150,17900,Facebook marketplace